Na,Mg,Al,Si,P,S,Cl,K,Ca,Fe,Cu,Zn,Ba,Pb,OC,EC,SO4,NO3
0.031102014,0.018418544,0.019885819,0.024400514,0.012923314,1.225443332,0,0.012436573,0.034219975,0.04061109,0.011441929,0.009995816,0,0.005918483,1.68,0.55,1.743149589,1.34
0.202249363,0.064522324,0.003675524,0.017619582,0.010937391,0.856288767,0,0.013268832,0.017683283,0.028563343,0.001496964,0.004280679,0.011765498,0.000726187,1.87,0.43,1.616019162,1.34
0.650967919,0,0.003792525,0.056909026,0.002756278,0.618456532,0,0.027957537,0.05635918,0.052446817,0.041710728,0.016544715,0,0.004391716,1.72,0.46,0.836172242,0.36
0.10816602,0.066560007,0.022715413,0.070652627,0.014660643,0.440217572,0.013932761,0.033764114,0.087029973,0.118006161,0.136924228,0.039278164,0,0.02000989,1.83,0.78,0.580223602,0.3
0.302108528,0.046830512,0.004883454,0.052690656,0,0.418710931,0.0051222,0.018853748,0.076890882,0.078048441,0.006366577,0.019201016,0.008088446,0.004073162,1.18,0.45,0.579580789,0.41
0.390122155,0.108124036,0.034825989,0.113248432,0.002316994,0.651523189,0.007867831,0.046595752,0.116816319,0.062125301,0.049481334,0.031712972,0,0.005614802,1.93,0.68,1.42197168,0.38
0.229540892,0.071237558,0.068847462,0.140437541,0,0.933773224,0.037642253,0.095512193,0.182789482,0.183501576,0.086262027,0.076976609,0.016089084,0.040060551,4.65,1.76,1.716341393,1.25
0.058648009,0.019129131,0.042355267,0.150761003,0.009124815,2.035017024,0,0.135545649,0.175907382,0.173554719,0.168307034,0.060187135,0.01922441,0.071459396,6.67,1.66,4.021630481,1.39
0,0.038404675,0.021733634,0.116843524,0,2.653724713,0,0.102637624,0.070604714,0.070743987,0.034901945,0.072234214,0.002813325,0.031608127,4.98,0.76,5.318573308,1.18
0.431029018,0.032890681,0.065200572,0.127421139,0.014236265,2.889643705,0,0.113980003,0.132551449,0.09629357,0.130166062,0.030131929,0.001825339,0.012162015,4.15,0.62,6.00508767,1.35
0,0.031227246,0.030191271,0.061883649,0.017118253,1.563864148,0.033489477,0.06688029,0.06793036,0.070326493,0.102998466,0.064237497,0,0.030163081,2.29,0.7,2.942305127,0.39
0.373942069,0.020001569,0.034434834,0.0777,0.008553302,0.872533804,0,0.037793823,0.062754229,0.045862323,0.00894807,0.007306667,0.003442098,0.002597157,1.9,0.58,1.389121074,0.41
0.103057191,0,0.029515086,0.069149228,0,0.448515619,0,0.026897604,0.058903858,0.042188468,0.003136767,0.004624451,0,0.001922761,0.88,0.32,0.849179322,0.11
0.227086973,0.037633355,0.013929407,0.070913342,0.006776468,0.579846627,0,0.022451328,0.071214519,0.044827363,0.00086246,0.005154223,0.00371679,0.002162994,0.88,0.48,1.08,0.22
0.640863376,0,0.019654661,0.073154801,0,0.726022077,0.240919649,0.053679508,0.108055795,0.085979657,0.002656035,0.014101133,0,0.009044318,3.55,1.12,1.402204317,1.47
0.17037364,0,0,0.088224532,0,0.839276504,0.00769416,0.134120852,0.150225548,0.097282563,0.003134148,0.028971922,0,0.029027028,4.17,1.01,1.373480572,1.99
0.47351716,0.083665116,0.075183637,0.166063518,0,1.082159713,0,0.088766396,0.146491402,0.069290661,0.004344005,0.012240317,0.010471048,0.008922076,3.63,0.83,2.323806745,0.68
0.248885038,0.033277032,0.035958672,0.222569298,0,1.50278856,0,0.164252192,0.190451339,0.1385057,0.005274121,0.036699381,0.023846711,0.014875903,5.28,1.2,3.181992723,1.21
0.300135178,0.069702778,0.037853287,0.096094894,0.020442961,1.750881885,0,0.142315247,0.101695705,0.055755392,0.023564389,0.016522393,0,0.006399951,4.12,0.85,3.518263767,0.41
0.032072187,0.01554042,0.033049572,0.094178016,0.080836713,0.817987385,0.018151434,0.072619698,0.150084433,0.187015619,0.133406057,0.047717327,0.006932451,0.012196367,4.98,1.89,1.727840215,0.52
0,0.002345029,0.013864469,0.242312787,0.006123131,0.745753446,0.336257933,0.122915165,0.211464002,0.294966226,0.020248158,0.046550879,0.04725713,0.029744839,10.96,3.48,1.53435586,1.03
0.054245724,0.088916898,0.059800012,0.114397623,0,0.487266256,0.329841879,0.110844259,0.192730326,0.172272608,0.021706569,0.10924352,0.000965963,0.176874732,6.25,2.89,1.174972953,0.9
0.213810749,0.058039078,0.052774331,0.163348114,0,0.933706757,0.02164396,0.108586288,0.301464911,0.204338433,0.008563143,0.022031592,0.002403318,0.009775374,6.91,2.13,1.884243352,1.12
0.154019813,0.077578271,0.060630065,0.213294022,0.202310215,1.504144675,0.060547892,0.128032565,0.310285691,0.244499263,0.218046367,0.143323612,0.030931331,0.036676601,5.74,1.37,3.384343507,1.34
